short_desc
"BARLEY - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG"
"CORN - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG"
"COTTON - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG"
"COTTON, UPLAND - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG"
"PEANUTS - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG"
"POTATOES, FALL - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG"
"RICE - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG"
"SORGHUM - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG"
"SOYBEANS - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG"
"SUGARBEETS - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG"
"WHEAT, SPRING, (EXCL DURUM) - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG"
"WHEAT, SPRING, DURUM - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG"
"WHEAT, WINTER - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG"
